countCombo3: Line=2, Cnt=162, 13.914µs
countCombo3: Line=545, Cnt=60943, 2.115622ms
countCombo3: Line=548, Cnt=243, 21.577µs
countCombo3: Line=547, Cnt=623, 103.316µs
countCombo3: Line=550, Cnt=3125, 1.194263ms
countCombo3: Line=549, Cnt=9604, 917.657µs
countCombo3: Line=552, Cnt=1, 27.459µs
countCombo3: Line=551, Cnt=1753428, 58.113743ms
countCombo3: Line=554, Cnt=39936, 3.750554ms
countCombo3: Line=553, Cnt=1, 12.818µs
countCombo3: Line=556, Cnt=243, 42.786µs
countCombo3: Line=555, Cnt=1592002, 192.034505ms
countCombo3: Line=558, Cnt=32, 17.539µs
countCombo3: Line=557, Cnt=1706, 103.306µs
countCombo3: Line=560, Cnt=34514, 2.770348ms
countCombo3: Line=559, Cnt=1, 5.655µs
countCombo3: Line=562, Cnt=32, 26.689µs
countCombo3: Line=561, Cnt=687048, 16.424581ms
countCombo3: Line=564, Cnt=191814, 11.070824ms
countCombo3: Line=563, Cnt=32270460, 1.836688614s
countCombo3: Line=566, Cnt=32, 17.019µs
countCombo3: Line=565, Cnt=1348, 153.373µs
countCombo3: Line=568, Cnt=22292, 2.756195ms
countCombo3: Line=567, Cnt=1250, 241.972µs
countCombo3: Line=570, Cnt=1518174, 117.323763ms
countCombo3: Line=569, Cnt=114008, 5.741253ms
countCombo3: Line=572, Cnt=768, 92.832µs
countCombo3: Line=571, Cnt=3888, 421.59µs
countCombo3: Line=574, Cnt=243, 34.591µs
countCombo3: Line=573, Cnt=1, 11.19µs
countCombo3: Line=576, Cnt=32, 12.222µs
countCombo3: Line=575, Cnt=41824, 4.026825ms
countCombo3: Line=578, Cnt=16, 9.182µs
countCombo3: Line=577, Cnt=32, 7.782µs
countCombo3: Line=580, Cnt=1, 6.87µs
countCombo3: Line=107, Cnt=6713889201, 6m57.461284972s
countCombo3: Line=178, Cnt=13102002592, 7m12.985730882s
countCombo3: Line=581, Cnt=125559, 7.002504ms
countCombo3: Line=584, Cnt=29447, 1.596544ms
countCombo3: Line=583, Cnt=59049, 2.417918ms
countCombo3: Line=586, Cnt=5184, 1.834577ms
countCombo3: Line=585, Cnt=81, 22.598µs
countCombo3: Line=588, Cnt=32, 8.401µs
countCombo3: Line=587, Cnt=162, 23.346µs
countCombo3: Line=590, Cnt=6646464, 386.814263ms
countCombo3: Line=589, Cnt=1024, 57.134µs
countCombo3: Line=592, Cnt=162, 18.05µs
countCombo3: Line=591, Cnt=81, 15.825µs
countCombo3: Line=594, Cnt=14748725, 446.813487ms
countCombo3: Line=593, Cnt=74372, 2.407987ms
countCombo3: Line=596, Cnt=32, 21.479µs
countCombo3: Line=595, Cnt=768, 31.259µs
countCombo3: Line=598, Cnt=138503358, 6.595864153s
countCombo3: Line=597, Cnt=8851, 1.475798ms
countCombo3: Line=600, Cnt=1, 16.487µs
countCombo3: Line=599, Cnt=186624, 15.459348ms
countCombo3: Line=602, Cnt=1, 10.387µs
countCombo3: Line=601, Cnt=1993, 92.343µs
countCombo3: Line=604, Cnt=25750000, 662.956924ms
countCombo3: Line=603, Cnt=8192, 539.308µs
countCombo3: Line=606, Cnt=55807, 1.828119ms
countCombo3: Line=605, Cnt=1760000, 168.697208ms
countCombo3: Line=608, Cnt=32, 20.882µs
countCombo3: Line=607, Cnt=9604, 349.305µs
countCombo3: Line=610, Cnt=121023, 4.915873ms
countCombo3: Line=609, Cnt=126125472, 13.620073754s
countCombo3: Line=612, Cnt=44605, 2.953624ms
countCombo3: Line=611, Cnt=1024, 86.027µs
countCombo3: Line=614, Cnt=759375, 67.414159ms
countCombo3: Line=613, Cnt=3888, 233.094µs
countCombo3: Line=616, Cnt=1, 8.26µs
countCombo3: Line=615, Cnt=1024, 105.78µs
countCombo3: Line=618, Cnt=3888, 391.536µs
countCombo3: Line=617, Cnt=5859375, 616.189767ms
countCombo3: Line=620, Cnt=1, 17.095µs
countCombo3: Line=619, Cnt=18072, 1.744936ms
countCombo3: Line=76, Cnt=22411462808, 7m55.193840539s
countCombo3: Line=621, Cnt=1024, 99.659µs
countCombo3: Line=624, Cnt=414752, 19.004878ms
countCombo3: Line=623, Cnt=2685548, 123.8586ms
countCombo3: Line=626, Cnt=512, 58.544µs
countCombo3: Line=625, Cnt=13904, 831.241µs
countCombo3: Line=628, Cnt=205050355, 9.908491672s
countCombo3: Line=627, Cnt=233756, 8.564153ms
countCombo3: Line=630, Cnt=1591564, 555.696973ms
countCombo3: Line=629, Cnt=243, 25.452µs
countCombo3: Line=632, Cnt=493158, 18.77938ms
countCombo3: Line=631, Cnt=243, 51.044µs
countCombo3: Line=634, Cnt=2707610, 148.770018ms
countCombo3: Line=633, Cnt=3125, 153.222µs
countCombo3: Line=636, Cnt=394499, 29.549253ms
countCombo3: Line=635, Cnt=2013897286, 42.357293188s
countCombo3: Line=638, Cnt=155117520, 8.201233134s
countCombo3: Line=637, Cnt=1027800, 57.236895ms
countCombo3: Line=640, Cnt=4780008, 181.370828ms
countCombo3: Line=639, Cnt=768, 64.558µs
countCombo3: Line=642, Cnt=243, 25.572µs
countCombo3: Line=641, Cnt=2436840, 138.862571ms
countCombo3: Line=582, Cnt=3865856316, 2m0.653160517s
countCombo3: Line=643, Cnt=2562250, 177.5452ms
countCombo3: Line=646, Cnt=3125, 716.788µs
countCombo3: Line=645, Cnt=32, 8.14µs
countCombo3: Line=648, Cnt=2500, 160.667µs
countCombo3: Line=647, Cnt=1, 5.199µs
countCombo3: Line=650, Cnt=1, 9.497µs
countCombo3: Line=644, Cnt=39782517, 1.808125843s
countCombo3: Line=652, Cnt=124416, 16.359173ms
countCombo3: Line=651, Cnt=1875, 153.655µs
countCombo3: Line=649, Cnt=5658928, 405.573509ms
countCombo3: Line=653, Cnt=9342271, 323.63844ms
countCombo3: Line=654, Cnt=5196262, 407.972837ms
countCombo3: Line=655, Cnt=16, 15µs
countCombo3: Line=656, Cnt=1257843, 46.229879ms
countCombo3: Line=657, Cnt=243, 42.633µs
countCombo3: Line=660, Cnt=17433, 3.052784ms
countCombo3: Line=658, Cnt=1909888, 199.83631ms
countCombo3: Line=659, Cnt=8559632, 540.169377ms
countCombo3: Line=661, Cnt=16384, 1.042378ms
countCombo3: Line=664, Cnt=1, 10.908µs
countCombo3: Line=663, Cnt=11572, 1.384995ms
countCombo3: Line=666, Cnt=1243, 143.171µs
countCombo3: Line=665, Cnt=4951, 308.505µs
countCombo3: Line=662, Cnt=3913728, 379.751609ms
countCombo3: Line=667, Cnt=162, 22.283µs
countCombo3: Line=668, Cnt=1109287, 56.031076ms
countCombo3: Line=670, Cnt=1415168, 41.679928ms
countCombo3: Line=672, Cnt=10661, 1.574142ms
countCombo3: Line=671, Cnt=3125, 406.677µs
countCombo3: Line=674, Cnt=1327370, 34.707369ms
countCombo3: Line=673, Cnt=512, 40.148µs
countCombo3: Line=676, Cnt=1875, 1.143414ms
countCombo3: Line=675, Cnt=243, 78.07µs
countCombo3: Line=669, Cnt=307328, 57.573722ms
countCombo3: Line=678, Cnt=2722734, 86.815354ms
countCombo3: Line=680, Cnt=512, 154.187µs
countCombo3: Line=677, Cnt=59326000, 3.472909524s
countCombo3: Line=682, Cnt=16807, 709.549µs
countCombo3: Line=681, Cnt=768, 48.309µs
countCombo3: Line=579, Cnt=7653845744, 4m17.692148234s
countCombo3: Line=683, Cnt=12005, 598.038µs
countCombo3: Line=686, Cnt=32, 12.655µs
countCombo3: Line=685, Cnt=7776, 2.809347ms
countCombo3: Line=688, Cnt=3279584, 141.314146ms
countCombo3: Line=687, Cnt=8192, 596.334µs
countCombo3: Line=690, Cnt=7710193, 228.51421ms
countCombo3: Line=689, Cnt=11824, 653.077µs
countCombo3: Line=692, Cnt=423150638, 11.837625958s
countCombo3: Line=691, Cnt=10790, 835.647µs
countCombo3: Line=694, Cnt=480000, 650.66285ms
countCombo3: Line=693, Cnt=768, 70.267µs
countCombo3: Line=696, Cnt=32, 17.366µs
countCombo3: Line=695, Cnt=753399, 52.622168ms
countCombo3: Line=698, Cnt=1184248, 90.123171ms
countCombo3: Line=697, Cnt=6635520, 314.728425ms
countCombo3: Line=700, Cnt=98644, 3.226725ms
countCombo3: Line=699, Cnt=32, 9.551µs
countCombo3: Line=702, Cnt=307328, 14.452051ms
countCombo3: Line=701, Cnt=512, 123.624µs
countCombo3: Line=704, Cnt=5184, 251.578µs
countCombo3: Line=703, Cnt=39366, 1.077847ms
countCombo3: Line=706, Cnt=1250, 91.041µs
countCombo3: Line=705, Cnt=32, 7.207µs
countCombo3: Line=708, Cnt=29436, 1.688562ms
countCombo3: Line=707, Cnt=32, 15.977µs
countCombo3: Line=710, Cnt=655360, 18.660132ms
countCombo3: Line=709, Cnt=12810, 595.943µs
countCombo3: Line=712, Cnt=1, 16.118µs
countCombo3: Line=711, Cnt=1, 4.711µs
countCombo3: Line=714, Cnt=141843, 9.846896ms
countCombo3: Line=713, Cnt=917, 182.95µs
countCombo3: Line=716, Cnt=205530822, 7.896045258s
countCombo3: Line=715, Cnt=7776, 682.664µs
countCombo3: Line=718, Cnt=2500, 113.584µs
countCombo3: Line=717, Cnt=443, 72.872µs
countCombo3: Line=720, Cnt=1, 12.829µs
countCombo3: Line=719, Cnt=1875, 144.094µs
countCombo3: Line=722, Cnt=9364563, 460.561692ms
countCombo3: Line=721, Cnt=159529, 22.912649ms
countCombo3: Line=724, Cnt=11446752, 2.977607387s
countCombo3: Line=723, Cnt=16, 15.488µs
countCombo3: Line=679, Cnt=1100565472, 41.092926105s
countCombo3: Line=725, Cnt=8006842, 411.830693ms
countCombo3: Line=728, Cnt=7858792, 403.922144ms
countCombo3: Line=727, Cnt=16, 21.892µs
countCombo3: Line=730, Cnt=102487, 9.282678ms
countCombo3: Line=729, Cnt=3342945, 954.329056ms
countCombo3: Line=732, Cnt=512, 36.957µs
countCombo3: Line=259, Cnt=14291032500, 9m40.828859482s
countCombo3: Line=734, Cnt=32, 22.761µs
countCombo3: Line=733, Cnt=1533540, 92.478497ms
countCombo3: Line=736, Cnt=45927, 30.066931ms
countCombo3: Line=735, Cnt=66055, 3.156359ms
countCombo3: Line=738, Cnt=5184, 625.66µs
countCombo3: Line=737, Cnt=5184, 174.918µs
countCombo3: Line=740, Cnt=40000, 2.046983ms
countCombo3: Line=739, Cnt=16807, 1.529338ms
countCombo3: Line=742, Cnt=436, 96.305µs
countCombo3: Line=741, Cnt=32, 11.993µs
countCombo3: Line=744, Cnt=16, 440.67µs
countCombo3: Line=743, Cnt=27157056, 1.342380305s
countCombo3: Line=746, Cnt=768, 66.11µs
countCombo3: Line=745, Cnt=34332320, 1.193189806s
countCombo3: Line=748, Cnt=768, 113.171µs
countCombo3: Line=747, Cnt=32, 10.072µs
countCombo3: Line=750, Cnt=10740324, 520.7647ms
countCombo3: Line=749, Cnt=11561368, 483.054809ms
countCombo3: Line=752, Cnt=9943, 389.593µs
countCombo3: Line=751, Cnt=162, 22.511µs
countCombo3: Line=754, Cnt=3342945, 173.396759ms
countCombo3: Line=753, Cnt=5042, 387.802µs
countCombo3: Line=756, Cnt=243, 43.046µs
countCombo3: Line=755, Cnt=1093539, 39.872573ms
countCombo3: Line=758, Cnt=653694709, 22.177834516s
countCombo3: Line=757, Cnt=32, 17.822µs
countCombo3: Line=760, Cnt=1, 5.612µs
countCombo3: Line=759, Cnt=1, 6.176µs
countCombo3: Line=762, Cnt=243, 17.605µs
countCombo3: Line=761, Cnt=32, 183.634µs
countCombo3: Line=764, Cnt=1024, 196.679µs
countCombo3: Line=763, Cnt=32, 15.629µs
countCombo3: Line=766, Cnt=39366, 2.600087ms
countCombo3: Line=765, Cnt=21277591, 1.384417175s
countCombo3: Line=768, Cnt=30000, 11.31005ms
countCombo3: Line=767, Cnt=7776, 807.004µs
countCombo3: Line=770, Cnt=38434375, 1.279789404s
countCombo3: Line=769, Cnt=243, 28.1µs
countCombo3: Line=772, Cnt=98334, 10.365192ms
countCombo3: Line=771, Cnt=35126177, 1.909106173s
countCombo3: Line=774, Cnt=955144, 117.214174ms
countCombo3: Line=773, Cnt=24400, 1.431612ms
countCombo3: Line=776, Cnt=171366, 7.341617ms
countCombo3: Line=775, Cnt=1, 13.491µs
countCombo3: Line=778, Cnt=512, 42.253µs
countCombo3: Line=777, Cnt=40000, 1.959904ms
countCombo3: Line=780, Cnt=512, 41.505µs
countCombo3: Line=779, Cnt=1, 4.754µs
countCombo3: Line=782, Cnt=8562, 524.7µs
countCombo3: Line=781, Cnt=624591, 17.792868ms
countCombo3: Line=784, Cnt=54316837, 1.40389028s
countCombo3: Line=783, Cnt=273736, 29.663628ms
countCombo3: Line=786, Cnt=42445352, 1.098553162s
countCombo3: Line=785, Cnt=1875, 194.628µs
countCombo3: Line=496, Cnt=8039268822, 6m12.946676314s
countCombo3: Line=787, Cnt=32768, 2.300308ms
countCombo3: Line=790, Cnt=32, 15.553µs
countCombo3: Line=789, Cnt=512, 58.849µs
countCombo3: Line=792, Cnt=92277, 5.343682ms
countCombo3: Line=791, Cnt=18928, 3.498512ms
countCombo3: Line=794, Cnt=1, 5.546µs
countCombo3: Line=793, Cnt=1163889, 120.839841ms
countCombo3: Line=796, Cnt=1055824, 35.605924ms
countCombo3: Line=795, Cnt=32, 11.429µs
countCombo3: Line=798, Cnt=7776, 533.067µs
countCombo3: Line=797, Cnt=72523650, 2.390982992s
countCombo3: Line=800, Cnt=124416, 9.319515ms
countCombo3: Line=799, Cnt=88710, 4.723469ms
countCombo3: Line=802, Cnt=1, 92.159µs
countCombo3: Line=801, Cnt=5418860, 261.087377ms
countCombo3: Line=804, Cnt=392, 149.705µs
countCombo3: Line=803, Cnt=60000, 4.417059ms
countCombo3: Line=806, Cnt=512, 59.272µs
countCombo3: Line=805, Cnt=1088, 138.439µs
countCombo3: Line=808, Cnt=1230003, 91.287931ms
countCombo3: Line=807, Cnt=165888, 100.683833ms
countCombo3: Line=810, Cnt=11190, 895.439µs
countCombo3: Line=809, Cnt=45927, 1.845962ms
countCombo3: Line=812, Cnt=1, 9.475µs
countCombo3: Line=811, Cnt=162, 17.475µs
countCombo3: Line=814, Cnt=16, 6.946µs
countCombo3: Line=813, Cnt=1, 4.645µs
countCombo3: Line=816, Cnt=9615900, 638.517826ms
countCombo3: Line=815, Cnt=111465678, 3.376060248s
countCombo3: Line=818, Cnt=81, 19.092µs
countCombo3: Line=817, Cnt=5791008, 142.937684ms
countCombo3: Line=820, Cnt=2365966, 63.724011ms
countCombo3: Line=819, Cnt=1, 22.478µs
countCombo3: Line=822, Cnt=1238448, 84.766189ms
countCombo3: Line=821, Cnt=1250, 175.938µs
countCombo3: Line=824, Cnt=1, 6.143µs
countCombo3: Line=823, Cnt=1, 5.351µs
countCombo3: Line=826, Cnt=32, 9.79µs
countCombo3: Line=825, Cnt=16, 104.901µs
countCombo3: Line=828, Cnt=1, 5.655µs
countCombo3: Line=827, Cnt=7776, 402.107µs
countCombo3: Line=830, Cnt=254, 67.792µs
countCombo3: Line=829, Cnt=352878, 45.293142ms
countCombo3: Line=832, Cnt=16, 13.491µs
countCombo3: Line=831, Cnt=2592, 334.304µs
countCombo3: Line=834, Cnt=47815677, 1.467527941s
countCombo3: Line=833, Cnt=32, 22.066µs
countCombo3: Line=836, Cnt=1165952, 82.66932ms
countCombo3: Line=835, Cnt=768, 192.642µs
countCombo3: Line=838, Cnt=16830, 653.891µs
countCombo3: Line=837, Cnt=32, 14.424µs
countCombo3: Line=840, Cnt=1, 6.578µs
countCombo3: Line=839, Cnt=32, 6.632µs
countCombo3: Line=842, Cnt=266922, 15.360363ms
countCombo3: Line=841, Cnt=1024, 148.445µs
countCombo3: Line=844, Cnt=199927, 9.459625ms
countCombo3: Line=843, Cnt=9195, 510.438µs
countCombo3: Line=684, Cnt=3247943160, 2m24.615924343s
countCombo3: Line=845, Cnt=256, 73.914µs
countCombo3: Line=848, Cnt=342732, 24.585908ms
countCombo3: Line=847, Cnt=363085, 28.098743ms
countCombo3: Line=850, Cnt=162, 18.668µs
countCombo3: Line=849, Cnt=10868656, 736.956949ms
countCombo3: Line=852, Cnt=806419, 73.447374ms
countCombo3: Line=851, Cnt=2402774, 315.847136ms
countCombo3: Line=854, Cnt=124416, 3.855674ms
countCombo3: Line=853, Cnt=162, 21.544µs
countCombo3: Line=856, Cnt=236640, 12.86529ms
countCombo3: Line=855, Cnt=32, 12.753µs
countCombo3: Line=788, Cnt=1988592482, 58.065746107s
countCombo3: Line=857, Cnt=512, 60.803µs
countCombo3: Line=860, Cnt=267930, 12.793564ms
countCombo3: Line=859, Cnt=2428155, 313.742889ms
countCombo3: Line=862, Cnt=3888, 304.197µs
countCombo3: Line=861, Cnt=28388121, 1.206952744s
countCombo3: Line=864, Cnt=68457312, 4.399191249s
countCombo3: Line=863, Cnt=1024, 137.103µs
countCombo3: Line=866, Cnt=14526938, 423.990987ms
countCombo3: Line=865, Cnt=1, 37.499µs
countCombo3: Line=868, Cnt=768, 198.123µs
countCombo3: Line=867, Cnt=46083584, 1.411546718s
countCombo3: Line=870, Cnt=2500, 215.315µs
countCombo3: Line=869, Cnt=32, 8.846µs
countCombo3: Line=872, Cnt=3888, 3.179716ms
countCombo3: Line=871, Cnt=32, 14.511µs
countCombo3: Line=874, Cnt=9604, 652.111µs
countCombo3: Line=873, Cnt=32768, 1.456466ms
countCombo3: Line=876, Cnt=5184, 1.055488ms
countCombo3: Line=875, Cnt=72248220, 2.28552784s
countCombo3: Line=878, Cnt=243, 40.267µs
countCombo3: Line=877, Cnt=16, 9.182µs
countCombo3: Line=880, Cnt=1563852, 291.100655ms
countCombo3: Line=879, Cnt=1790600, 43.905092ms
countCombo3: Line=882, Cnt=347217, 14.277826ms
countCombo3: Line=881, Cnt=12994640, 806.653309ms
countCombo3: Line=884, Cnt=228488, 14.171081ms
countCombo3: Line=883, Cnt=32, 16.628µs
countCombo3: Line=886, Cnt=113984, 7.469169ms
countCombo3: Line=885, Cnt=6623, 342.64µs
countCombo3: Line=888, Cnt=392, 32.268µs
countCombo3: Line=887, Cnt=5207799, 173.59507ms
countCombo3: Line=890, Cnt=2465575, 180.108795ms
countCombo3: Line=889, Cnt=72054, 8.104012ms
countCombo3: Line=892, Cnt=681965492, 18.189966595s
countCombo3: Line=891, Cnt=5184, 356.044µs
countCombo3: Line=894, Cnt=40000, 3.47867ms
countCombo3: Line=893, Cnt=32, 232.779µs
countCombo3: Line=896, Cnt=2917215, 383.294542ms
countCombo3: Line=895, Cnt=1024, 236.512µs
countCombo3: Line=898, Cnt=512, 125.457µs
countCombo3: Line=897, Cnt=658026, 27.990317ms
countCombo3: Line=900, Cnt=60000, 2.854031ms
countCombo3: Line=899, Cnt=40539, 1.446405ms
countCombo3: Line=902, Cnt=4574487, 195.571098ms
countCombo3: Line=901, Cnt=11205, 1.179947ms
countCombo3: Line=904, Cnt=1024, 576.341µs
countCombo3: Line=903, Cnt=73515, 3.422058ms
countCombo3: Line=906, Cnt=147495, 5.48707ms
countCombo3: Line=905, Cnt=8361, 1.136598ms
countCombo3: Line=908, Cnt=16125685, 803.728657ms
countCombo3: Line=907, Cnt=26839, 1.154007ms
countCombo3: Line=910, Cnt=39366, 11.832893ms
countCombo3: Line=909, Cnt=60000, 1.984694ms
countCombo3: Line=912, Cnt=25008, 3.527241ms
countCombo3: Line=911, Cnt=243, 29.24µs
countCombo3: Line=858, Cnt=1171471778, 40.988425635s
countCombo3: Line=913, Cnt=6085331, 259.579644ms
countCombo3: Line=916, Cnt=243, 47.67µs
countCombo3: Line=915, Cnt=1562500, 74.804113ms
countCombo3: Line=918, Cnt=668168, 24.52123ms
countCombo3: Line=917, Cnt=16, 12.829µs
countCombo3: Line=920, Cnt=243, 24.887µs
countCombo3: Line=919, Cnt=3981312, 298.438256ms
countCombo3: Line=922, Cnt=7776, 604.897µs
countCombo3: Line=921, Cnt=754419, 34.320022ms
countCombo3: Line=924, Cnt=127155, 17.667215ms
countCombo3: Line=923, Cnt=26244, 2.754242ms
countCombo3: Line=926, Cnt=2806786, 97.852184ms
countCombo3: Line=925, Cnt=62208, 3.725537ms
countCombo3: Line=928, Cnt=2592, 315.288µs
countCombo3: Line=927, Cnt=32768, 2.260507ms
countCombo3: Line=930, Cnt=1194588, 54.81013ms
countCombo3: Line=929, Cnt=8981, 384.774µs
countCombo3: Line=932, Cnt=32768, 2.04364ms
countCombo3: Line=931, Cnt=21336, 749.208µs
countCombo3: Line=934, Cnt=3356340, 152.388383ms
countCombo3: Line=933, Cnt=1, 18.495µs
countCombo3: Line=914, Cnt=152233504, 9.039628046s
countCombo3: Line=935, Cnt=7776, 732.059µs
countCombo3: Line=938, Cnt=1024, 842.474µs
countCombo3: Line=936, Cnt=360265952, 9.081935342s
countCombo3: Line=940, Cnt=16, 17.029µs
countCombo3: Line=939, Cnt=5951295, 239.860112ms
countCombo3: Line=942, Cnt=48014, 3.618233ms
countCombo3: Line=941, Cnt=74790, 5.224736ms
countCombo3: Line=944, Cnt=30801408, 2.012346441s
countCombo3: Line=943, Cnt=8343255, 434.485978ms
countCombo3: Line=946, Cnt=3365749, 209.218458ms
countCombo3: Line=945, Cnt=4046090, 591.614679ms
countCombo3: Line=948, Cnt=32, 26.743µs
countCombo3: Line=947, Cnt=3574, 1.214712ms
countCombo3: Line=950, Cnt=768, 86.938µs
countCombo3: Line=726, Cnt=7653845744, 2m58.901053987s
countCombo3: Line=952, Cnt=32, 17.822µs
countCombo3: Line=951, Cnt=512, 87.969µs
countCombo3: Line=954, Cnt=59049, 3.618998ms
countCombo3: Line=953, Cnt=759375, 41.605003ms
countCombo3: Line=956, Cnt=7776, 988.087µs
countCombo3: Line=955, Cnt=185688, 10.3611ms
countCombo3: Line=958, Cnt=4778, 166.506µs
countCombo3: Line=957, Cnt=768, 176.915µs
countCombo3: Line=960, Cnt=2311586, 302.509412ms
countCombo3: Line=959, Cnt=571, 40.354µs
countCombo3: Line=962, Cnt=1, 10.43µs
countCombo3: Line=961, Cnt=162, 28.784µs
countCombo3: Line=964, Cnt=4569760, 172.037282ms
countCombo3: Line=963, Cnt=241077744, 15.354168697s
countCombo3: Line=374, Cnt=14504908592, 11m52.583553793s
countCombo3: Line=965, Cnt=32, 28.524µs
countCombo3: Line=968, Cnt=165888, 21.174464ms
countCombo3: Line=967, Cnt=15620, 868.339µs
countCombo3: Line=970, Cnt=69010, 9.488192ms
countCombo3: Line=969, Cnt=607500, 17.969534ms
countCombo3: Line=972, Cnt=1, 7.228µs
countCombo3: Line=971, Cnt=3124, 108.33µs
countCombo3: Line=974, Cnt=1, 8.205µs
countCombo3: Line=973, Cnt=1, 5.644µs
countCombo3: Line=976, Cnt=16, 6.089µs
countCombo3: Line=975, Cnt=32, 132.382µs
countCombo3: Line=978, Cnt=2500, 109.416µs
countCombo3: Line=977, Cnt=512, 38.216µs
countCombo3: Line=980, Cnt=16, 5.926µs
countCombo3: Line=979, Cnt=1, 3.69µs
countCombo3: Line=982, Cnt=45927, 3.714152ms
countCombo3: Line=981, Cnt=512, 42.243µs
countCombo3: Line=984, Cnt=31534, 1.669557ms
countCombo3: Line=983, Cnt=31092219, 4.682364985s
countCombo3: Line=986, Cnt=120924, 4.410893ms
countCombo3: Line=985, Cnt=835210, 35.272761ms
countCombo3: Line=988, Cnt=3888, 137.864µs
countCombo3: Line=987, Cnt=59049, 2.003221ms
countCombo3: Line=990, Cnt=243, 36.599µs
countCombo3: Line=989, Cnt=5252942, 130.24814ms
countCombo3: Line=992, Cnt=8528390, 455.242539ms
countCombo3: Line=991, Cnt=3268760, 149.017882ms
countCombo3: Line=994, Cnt=81, 30.694µs
countCombo3: Line=993, Cnt=39747, 1.948725ms
countCombo3: Line=996, Cnt=1476, 52.684µs
countCombo3: Line=995, Cnt=243, 22.553µs
countCombo3: Line=998, Cnt=243, 37.196µs
countCombo3: Line=997, Cnt=512, 104.684µs
countCombo3: Line=1000, Cnt=803, 66.891µs
countCombo3: Line=999, Cnt=354375, 27.583276ms
countCombo3: Line=966, Cnt=1196209084, 31.524668307s
countCombo3: Line=391, Cnt=13224509712, 12m59.890868458s
countCombo3: Line=731, Cnt=8997660098, 4m55.68155776s
countCombo3: Line=937, Cnt=5360427404, 2m37.388614416s
countCombo3: Line=296, Cnt=40027324314, 22m0.211701706s
countCombo3: Line=163, Cnt=60818704041, 28m16.639846755s
countCombo3: Line=352, Cnt=57150132794, 38m28.584752781s
countCombo3: Line=949, Cnt=84165406256, 34m4.881319295s
countCombo3: Line=239, Cnt=69826646127, 47m37.405999787s
countCombo3: Line=494, Cnt=159119388960, 1h42m35.127139651s
countCombo3: Line=182, Cnt=523932191062, 1h58m45.926663994s
countCombo3: Line=443, Cnt=1524866540573, 6h17m31.881288117s
